timeframe,profile,risk_reward,time_stop_bars,score_min,spread_max,closed,wins,losses,win_rate,profit_factor,expectancy,max_drawdown,buy_win_rate,sell_win_rate,buy_pf,sell_pf,blocked_by_drawdown_accelerating,blocked_by_cooldown_after_loss,blocked_by_consecutive_losses,blocked_by_mae_filter,test_pf,test_expectancy,monte_carlo_risk_of_ruin,monte_carlo_drawdown_p95,stressed_profit_factor,capital_preservation_score,recommendation,candidate,pass_fail_reasons,broker_touched,order_executed
M30,liquidity_sweep_v3_session_confirmed,1.2,3,65.0,20.0,5,3,2,60.0,9.353,0.4776,118.38,60.0,0.0,9.353,0.0,0,2229,2225,0,0.0,0.0,0.0,203.15,7.2273,116.8876,observation_only,False,sample_too_small;single_trade_dependency,False,False
M30,liquidity_sweep_v3_session_confirmed,1.2,3,60.0,20.0,5,3,2,60.0,9.353,0.4776,118.38,60.0,0.0,9.353,0.0,0,2229,2225,0,0.0,0.0,0.0,203.15,7.2273,116.8876,observation_only,False,sample_too_small;single_trade_dependency,False,False
M30,liquidity_sweep_v3_session_confirmed,1.2,3,55.0,20.0,5,3,2,60.0,9.353,0.4776,118.38,60.0,0.0,9.353,0.0,0,2229,2225,0,0.0,0.0,0.0,203.15,7.2273,116.8876,observation_only,False,sample_too_small;single_trade_dependency,False,False
M30,liquidity_sweep_v3_session_confirmed,1.2,3,50.0,20.0,5,3,2,60.0,9.353,0.4776,118.38,60.0,0.0,9.353,0.0,0,2229,2225,0,0.0,0.0,0.0,203.15,7.2273,116.8876,observation_only,False,sample_too_small;single_trade_dependency,False,False
M30,liquidity_sweep_v3_session_confirmed,1.2,3,65.0,25.0,5,3,2,60.0,9.353,0.4776,118.38,60.0,0.0,9.353,0.0,0,2229,2225,0,0.0,0.0,0.0,203.15,7.2273,116.8876,observation_only,False,sample_too_small;single_trade_dependency,False,False
M30,liquidity_sweep_v3_session_confirmed,1.2,3,60.0,25.0,5,3,2,60.0,9.353,0.4776,118.38,60.0,0.0,9.353,0.0,0,2229,2225,0,0.0,0.0,0.0,203.15,7.2273,116.8876,observation_only,False,sample_too_small;single_trade_dependency,False,False
M30,capital_preservation_v4_side_filtered,1.2,3,60.0,25.0,14,9,5,64.29,3.525,0.3693,616.998892,64.29,0.0,3.525,0.0,0,2295,2286,0,0.0,0.0,0.0,1335.450104,2.2184,113.7388,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.2,3,60.0,25.0,12,8,4,66.67,3.4375,0.341,616.998892,66.67,0.0,3.4375,0.0,0,8,0,4576,0.0,0.0,0.0,1342.05464,2.1302,86.6078,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,2,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,6,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,2,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,3,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,2,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,3,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,2,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,6,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,2,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,9,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,2,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,9,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,2,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,12,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,2,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,12,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,3,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,6,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,4,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,6,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.0,6,60.0,25.0,13,9,3,69.23,4.4525,0.319,510.898892,69.23,0.0,4.4525,0.0,4628,6,0,0,0.0,0.0,0.0,1025.225748,2.6965,81.6049,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.2,3,60.0,25.0,12,8,4,66.67,3.2686,0.3165,674.030428,66.67,0.0,3.2686,0.0,0,2345,2338,0,0.0,0.0,0.0,1341.45632,2.0213,69.6459,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.2,3,60.0,25.0,12,8,4,66.67,3.2686,0.3165,674.030428,66.67,0.0,3.2686,0.0,0,2345,2338,0,0.0,0.0,0.0,1341.45632,2.0213,69.6459,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,1.2,3,60.0,25.0,14,9,4,64.29,3.5241,0.2809,510.898892,64.29,0.0,3.5241,0.0,0,8,0,4576,0.0,0.0,0.0,1325.689414,2.1487,58.2079,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,0.8,2,60.0,25.0,13,9,3,69.23,3.7355,0.2267,510.898892,69.23,0.0,3.7355,0.0,4675,6,0,0,0.0,0.0,0.0,1050.27789,2.2913,21.6099,observation_only,False,sample_too_small,False,False
M30,capital_preservation_v4_side_filtered,0.8,3,60.0,25.0,13,9,3,69.23,3.7355,0.2267,510.898892,69.23,0.0,3.7355,0.0,4675,6,0,0,0.0,0.0,0.0,1050.27789,2.2913,21.6099,observation_only,False,sample_too_small,False,False
