timeframe,profile,bars_loaded,bars_evaluated,passed_regime_filter,failed_regime_filter,passed_spread_filter,failed_spread_filter,passed_volatility_filter,failed_volatility_filter,passed_trend_filter,failed_trend_filter,passed_pullback_filter,failed_pullback_filter,passed_rsi_filter,failed_rsi_filter,passed_ema_filter,failed_ema_filter,passed_score_threshold,failed_score_threshold,generated_signal_count,actionable_signal_count,blocked_by_risk_governor,opened_shadow_trade_count,closed_trade_count,buy_signals,sell_signals,avg_spread,avg_atr,restrictiveness_score,top_no_trade_reasons,top_restrictive_filters
M30,ema_rsi_confirmed_v1,5000,4999,3508,1491,4980,19,1050,3949,4980,19,3444,1555,3554,1445,3983,1016,401,4598,71,71,0,23,23,71,0,25.0,336.319948,28.1896,"[{""reason"": ""volatility_too_low"", ""count"": 4500}, {""reason"": ""cooldown_after_loss"", ""count"": 2022}, {""reason"": ""block_after_consecutive_losses"", ""count"": 2010}, {""reason"": ""ema_rsi_not_confirmed"", ""count"": 805}, {""reason"": ""ema_distance_too_far"", ""count"": 294}, {""reason"": ""regime_chop"", ""count"": 188}, {""reason"": ""extended_candle_no_chase"", ""count"": 40}, {""reason"": ""insufficient_history"", ""count"": 19}]","[{""reason"": ""score_threshold"", ""count"": 4598}, {""reason"": ""volatility_filter"", ""count"": 3949}, {""reason"": ""pullback_filter"", ""count"": 1555}, {""reason"": ""regime_filter"", ""count"": 1491}, {""reason"": ""rsi_filter"", ""count"": 1445}, {""reason"": ""ema_filter"", ""count"": 1016}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""trend_filter"", ""count"": 19}]"
M30,liquidity_sweep_v2_confirmed,5000,4999,4980,19,4980,19,2004,2995,4980,19,621,4378,0,4999,4897,102,215,4784,99,99,0,18,18,43,56,25.0,336.319948,34.6369,"[{""reason"": ""recent_edge_negative"", ""count"": 4452}, {""reason"": ""volatility_too_low"", ""count"": 3111}, {""reason"": ""liquidity_sweep_not_confirmed"", ""count"": 2219}, {""reason"": ""ema_distance_too_far"", ""count"": 39}, {""reason"": ""extended_candle_no_chase"", ""count"": 21}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""cooldown_after_loss"", ""count"": 8}]","[{""reason"": ""rsi_filter"", ""count"": 4999}, {""reason"": ""score_threshold"", ""count"": 4784}, {""reason"": ""pullback_filter"", ""count"": 4378}, {""reason"": ""volatility_filter"", ""count"": 2995}, {""reason"": ""ema_filter"", ""count"": 102}, {""reason"": ""regime_filter"", ""count"": 19}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""trend_filter"", ""count"": 19}]"
M30,trend_v3_pullback_confirmed,5000,4999,3508,1491,4980,19,458,4541,4780,219,4980,19,4195,804,4639,360,116,4883,63,63,0,16,16,63,0,25.0,336.319948,24.6769,"[{""reason"": ""volatility_too_low"", ""count"": 4496}, {""reason"": ""cooldown_after_loss"", ""count"": 2468}, {""reason"": ""block_after_consecutive_losses"", ""count"": 2458}, {""reason"": ""score_too_low"", ""count"": 198}, {""reason"": ""weak_internal_scores"", ""count"": 164}, {""reason"": ""regime_chop"", ""count"": 53}, {""reason"": ""ema_distance_too_far"", ""count"": 22}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""waiting_confirmation"", ""count"": 16}, {""reason"": ""rsi_extreme_block"", ""count"": 10}]","[{""reason"": ""score_threshold"", ""count"": 4883}, {""reason"": ""volatility_filter"", ""count"": 4541}, {""reason"": ""regime_filter"", ""count"": 1491}, {""reason"": ""rsi_filter"", ""count"": 804}, {""reason"": ""ema_filter"", ""count"": 360}, {""reason"": ""trend_filter"", ""count"": 219}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""pullback_filter"", ""count"": 19}]"
M30,rsi_reversal_v2_confirmed,5000,4999,3508,1491,4980,19,403,4596,3530,1469,4980,19,3554,1445,4639,360,138,4861,70,70,0,14,14,70,0,25.0,336.319948,28.5257,"[{""reason"": ""volatility_too_low"", ""count"": 4542}, {""reason"": ""cooldown_after_loss"", ""count"": 2480}, {""reason"": ""block_after_consecutive_losses"", ""count"": 2472}, {""reason"": ""score_too_low"", ""count"": 146}, {""reason"": ""weak_internal_scores"", ""count"": 136}, {""reason"": ""regime_chop"", ""count"": 48}, {""reason"": ""waiting_confirmation"", ""count"": 23}, {""reason"": ""ema_distance_too_far"", ""count"": 23}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""rsi_extreme_block"", ""count"": 15}]","[{""reason"": ""score_threshold"", ""count"": 4861}, {""reason"": ""volatility_filter"", ""count"": 4596}, {""reason"": ""regime_filter"", ""count"": 1491}, {""reason"": ""trend_filter"", ""count"": 1469}, {""reason"": ""rsi_filter"", ""count"": 1445}, {""reason"": ""ema_filter"", ""count"": 360}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""pullback_filter"", ""count"": 19}]"
H1,anti_chop_v4_balanced,5000,4999,4123,876,4980,19,2699,2300,4980,19,3364,1635,4335,664,4783,216,1137,3862,370,370,0,13,13,370,0,25.0,553.729295,19.1858,"[{""reason"": ""drawdown_accelerating"", ""count"": 4273}, {""reason"": ""volatility_too_low"", ""count"": 2531}, {""reason"": ""trend_continuation_not_confirmed"", ""count"": 2367}, {""reason"": ""regime_chop"", ""count"": 264}, {""reason"": ""ema_distance_too_far"", ""count"": 103}, {""reason"": ""extended_candle_no_chase"", ""count"": 44}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""cooldown_after_loss"", ""count"": 6}]","[{""reason"": ""score_threshold"", ""count"": 3862}, {""reason"": ""volatility_filter"", ""count"": 2300}, {""reason"": ""pullback_filter"", ""count"": 1635}, {""reason"": ""regime_filter"", ""count"": 876}, {""reason"": ""rsi_filter"", ""count"": 664}, {""reason"": ""ema_filter"", ""count"": 216}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""trend_filter"", ""count"": 19}]"
M30,anti_chop_v4_balanced,5000,4999,3508,1491,4980,19,1050,3949,4980,19,3444,1555,4450,549,4788,211,999,4000,168,168,0,13,13,168,0,25.0,336.319948,23.5907,"[{""reason"": ""drawdown_accelerating"", ""count"": 4934}, {""reason"": ""volatility_too_low"", ""count"": 3949}, {""reason"": ""trend_continuation_not_confirmed"", ""count"": 669}, {""reason"": ""regime_chop"", ""count"": 159}, {""reason"": ""ema_distance_too_far"", ""count"": 59}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""extended_candle_no_chase"", ""count"": 15}, {""reason"": ""cooldown_after_loss"", ""count"": 4}]","[{""reason"": ""score_threshold"", ""count"": 4000}, {""reason"": ""volatility_filter"", ""count"": 3949}, {""reason"": ""pullback_filter"", ""count"": 1555}, {""reason"": ""regime_filter"", ""count"": 1491}, {""reason"": ""rsi_filter"", ""count"": 549}, {""reason"": ""ema_filter"", ""count"": 211}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""trend_filter"", ""count"": 19}]"
M30,low_drawdown_v3_more_trades,5000,4999,3508,1491,4980,19,1360,3639,4353,646,3444,1555,4195,804,4639,360,525,4474,149,149,0,13,13,149,0,25.0,336.319948,25.9812,"[{""reason"": ""drawdown_accelerating"", ""count"": 4934}, {""reason"": ""volatility_too_low"", ""count"": 3639}, {""reason"": ""ema_rsi_not_confirmed"", ""count"": 881}, {""reason"": ""regime_chop"", ""count"": 214}, {""reason"": ""ema_distance_too_far"", ""count"": 117}, {""reason"": ""extended_candle_no_chase"", ""count"": 23}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""cooldown_after_loss"", ""count"": 4}]","[{""reason"": ""score_threshold"", ""count"": 4474}, {""reason"": ""volatility_filter"", ""count"": 3639}, {""reason"": ""pullback_filter"", ""count"": 1555}, {""reason"": ""regime_filter"", ""count"": 1491}, {""reason"": ""rsi_filter"", ""count"": 804}, {""reason"": ""trend_filter"", ""count"": 646}, {""reason"": ""ema_filter"", ""count"": 360}, {""reason"": ""spread_filter"", ""count"": 19}]"
M30,trend_continuation_v3_balanced,5000,4999,3508,1491,4980,19,1662,3337,4980,19,3444,1555,4601,398,4841,158,1143,3856,315,315,0,12,12,315,0,25.0,336.319948,21.6703,"[{""reason"": ""drawdown_accelerating"", ""count"": 4934}, {""reason"": ""volatility_too_low"", ""count"": 3337}, {""reason"": ""trend_continuation_not_confirmed"", ""count"": 1030}, {""reason"": ""regime_chop"", ""count"": 264}, {""reason"": ""ema_distance_too_far"", ""count"": 57}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""extended_candle_no_chase"", ""count"": 16}, {""reason"": ""cooldown_after_loss"", ""count"": 4}]","[{""reason"": ""score_threshold"", ""count"": 3856}, {""reason"": ""volatility_filter"", ""count"": 3337}, {""reason"": ""pullback_filter"", ""count"": 1555}, {""reason"": ""regime_filter"", ""count"": 1491}, {""reason"": ""rsi_filter"", ""count"": 398}, {""reason"": ""ema_filter"", ""count"": 158}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""trend_filter"", ""count"": 19}]"
M30,trend_continuation_v1,5000,4999,3508,1491,4980,19,1050,3949,4353,646,3444,1555,4450,549,4639,360,744,4255,155,155,0,12,12,155,0,25.0,336.319948,25.6531,"[{""reason"": ""volatility_too_low"", ""count"": 3949}, {""reason"": ""cooldown_after_loss"", ""count"": 2464}, {""reason"": ""block_after_consecutive_losses"", ""count"": 2458}, {""reason"": ""trend_continuation_not_confirmed"", ""count"": 659}, {""reason"": ""regime_chop"", ""count"": 159}, {""reason"": ""ema_distance_too_far"", ""count"": 92}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""extended_candle_no_chase"", ""count"": 18}]","[{""reason"": ""score_threshold"", ""count"": 4255}, {""reason"": ""volatility_filter"", ""count"": 3949}, {""reason"": ""pullback_filter"", ""count"": 1555}, {""reason"": ""regime_filter"", ""count"": 1491}, {""reason"": ""trend_filter"", ""count"": 646}, {""reason"": ""rsi_filter"", ""count"": 549}, {""reason"": ""ema_filter"", ""count"": 360}, {""reason"": ""spread_filter"", ""count"": 19}]"
M30,capital_preservation_v3_balanced,5000,4999,3508,1491,4980,19,1050,3949,3801,1198,3444,1555,4084,915,4536,463,401,4598,92,92,0,12,12,92,0,25.0,336.319948,28.3817,"[{""reason"": ""drawdown_accelerating"", ""count"": 4934}, {""reason"": ""volatility_too_low"", ""count"": 3949}, {""reason"": ""ema_rsi_not_confirmed"", ""count"": 692}, {""reason"": ""regime_chop"", ""count"": 159}, {""reason"": ""ema_distance_too_far"", ""count"": 113}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""extended_candle_no_chase"", ""count"": 17}, {""reason"": ""cooldown_after_loss"", ""count"": 4}]","[{""reason"": ""score_threshold"", ""count"": 4598}, {""reason"": ""volatility_filter"", ""count"": 3949}, {""reason"": ""pullback_filter"", ""count"": 1555}, {""reason"": ""regime_filter"", ""count"": 1491}, {""reason"": ""trend_filter"", ""count"": 1198}, {""reason"": ""rsi_filter"", ""count"": 915}, {""reason"": ""ema_filter"", ""count"": 463}, {""reason"": ""spread_filter"", ""count"": 19}]"
