time,open,high,low,close,volume
2024-12-12T07:00:00+00:00,6077.99,6081.21,6074.67,6075.93,182
2024-12-12T08:00:00+00:00,6075.68,6079.7,6073.73,6074.48,247
2024-12-12T09:00:00+00:00,6074.23,6077.0,6073.01,6074.03,585
2024-12-12T10:00:00+00:00,6074.28,6075.79,6072.57,6073.33,506
2024-12-12T11:00:00+00:00,6073.08,6077.43,6072.71,6074.37,390
2024-12-12T12:00:00+00:00,6074.62,6076.37,6070.89,6072.68,592
2024-12-12T13:00:00+00:00,6072.92,6075.18,6070.97,6071.73,499
2024-12-12T14:00:00+00:00,6071.48,6078.5,6062.8,6069.57,1757
2024-12-12T15:00:00+00:00,6069.82,6075.06,6065.51,6070.01,2929
2024-12-12T16:00:00+00:00,6069.88,6077.52,6059.84,6075.86,3459
2024-12-12T17:00:00+00:00,6076.11,6079.53,6065.6,6065.85,2331
2024-12-12T18:00:00+00:00,6065.6,6076.88,6065.6,6075.99,2023
2024-12-12T19:00:00+00:00,6075.61,6077.41,6065.33,6065.59,1773
2024-12-12T20:00:00+00:00,6065.34,6069.3,6056.46,6059.04,2181
2024-12-12T21:00:00+00:00,6058.79,6061.14,6051.46,6051.96,2170
2024-12-12T22:00:00+00:00,6051.46,6055.48,6047.23,6053.83,1370
2024-12-13T01:00:00+00:00,6056.61,6061.89,6055.11,6059.91,489
2024-12-13T02:00:00+00:00,6059.66,6062.16,6056.46,6056.96,490
2024-12-13T03:00:00+00:00,6056.84,6057.49,6051.98,6056.52,559
2024-12-13T04:00:00+00:00,6056.77,6058.41,6052.75,6053.57,357
2024-12-13T05:00:00+00:00,6053.82,6059.91,6052.82,6057.87,246
2024-12-13T06:00:00+00:00,6057.62,6062.16,6055.64,6056.68,247
2024-12-13T07:00:00+00:00,6056.93,6063.15,6056.93,6060.98,241
2024-12-13T08:00:00+00:00,6060.73,6062.76,6057.99,6061.54,503
2024-12-13T09:00:00+00:00,6061.29,6067.68,6060.79,6066.08,759
2024-12-13T10:00:00+00:00,6066.33,6070.62,6065.84,6070.62,714
2024-12-13T11:00:00+00:00,6070.38,6072.92,6069.89,6072.18,479
2024-12-13T12:00:00+00:00,6071.93,6073.43,6070.46,6071.47,395
2024-12-13T13:00:00+00:00,6071.35,6074.77,6070.48,6073.77,396
2024-12-13T14:00:00+00:00,6074.02,6076.77,6072.58,6073.59,465
2024-12-13T15:00:00+00:00,6073.34,6077.49,6064.62,6068.27,2567
2024-12-13T16:00:00+00:00,6068.65,6068.77,6041.47,6041.54,4012
2024-12-13T17:00:00+00:00,6041.79,6053.08,6037.03,6044.78,3993
