requested_symbol,resolved_symbol,instrument_type,digits,point,tick_size,spread_points,estimated_spread_price,commission_assumption,slippage_assumption,spread_x1_5_cost,spread_x2_cost,cost_model_confidence,cost_model_reason,csv_found,csv_path,broker_touched,order_executed,order_policy
BTCUSD,BTCUSD,crypto,2,0.01,0.01,1999.67922,19.9967922,0.0,399.935844,2999.51883,3999.35844,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\BTCUSD_M15_20000.csv,False,False,journal_only_no_broker
BTCUSD,BTCUSD,crypto,2,0.01,0.01,1497.61476,14.9761476,0.0,299.522952,2246.42214,2995.22952,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\BTCUSD_M30_20000.csv,False,False,journal_only_no_broker
BTCUSD,BTCUSD,crypto,2,0.01,0.01,495.23148,4.9523148,0.0,99.046296,742.84722,990.46296,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\BTCUSD_H1_20000.csv,False,False,journal_only_no_broker
ETHUSD,ETHUSD,crypto,2,0.01,0.01,70.8057,0.708057,0.0,14.16114,106.20855,141.6114,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\ETHUSD_M15_20000.csv,False,False,journal_only_no_broker
ETHUSD,ETHUSD,crypto,2,0.01,0.01,50.0,0.5,0.0,10.0,75.0,100.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\ETHUSD_M30_20000.csv,False,False,journal_only_no_broker
ETHUSD,ETHUSD,crypto,2,0.01,0.01,50.0,0.5,0.0,10.0,75.0,100.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\ETHUSD_H1_20000.csv,False,False,journal_only_no_broker
XAUUSD,XAUUSD.B,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_M15_20000.csv,False,False,journal_only_no_broker
XAUUSD,XAUUSD.B,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_M30_20000.csv,False,False,journal_only_no_broker
XAUUSD,XAUUSD.B,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_H1_20000.csv,False,False,journal_only_no_broker
NAS100,USTEC.B,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\USTEC.b_M15_20000.csv,False,False,journal_only_no_broker
NAS100,USTEC.B,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\USTEC.b_M30_20000.csv,False,False,journal_only_no_broker
NAS100,USTEC.B,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\USTEC.b_H1_20000.csv,False,False,journal_only_no_broker
US500,US500.B,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\US500.b_M15_20000.csv,False,False,journal_only_no_broker
US500,US500.B,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\US500.b_M30_20000.csv,False,False,journal_only_no_broker
US500,US500.B,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\US500.b_H1_20000.csv,False,False,journal_only_no_broker
EURUSD,EURUSD,forex,5,1e-05,1e-05,12.0,0.00012,0.0,1.8,18.0,24.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\EURUSD_M15_20000.csv,False,False,journal_only_no_broker
EURUSD,EURUSD,forex,5,1e-05,1e-05,12.0,0.00012,0.0,1.8,18.0,24.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\EURUSD_M30_20000.csv,False,False,journal_only_no_broker
EURUSD,EURUSD,forex,5,1e-05,1e-05,12.0,0.00012,0.0,1.8,18.0,24.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\EURUSD_H1_20000.csv,False,False,journal_only_no_broker
GBPUSD,GBPUSD,forex,5,1e-05,1e-05,12.0,0.00012,0.0,1.8,18.0,24.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\GBPUSD_M15_20000.csv,False,False,journal_only_no_broker
GBPUSD,GBPUSD,forex,5,1e-05,1e-05,12.0,0.00012,0.0,1.8,18.0,24.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\GBPUSD_M30_20000.csv,False,False,journal_only_no_broker
GBPUSD,GBPUSD,forex,5,1e-05,1e-05,12.0,0.00012,0.0,1.8,18.0,24.0,medium,default_instrument_model,True,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\GBPUSD_H1_20000.csv,False,False,journal_only_no_broker
