symbol,requested_symbol,resolved_symbol,sample_label,timeframe,family,side,session,hardening_mode,recent_closed,recent_win_rate,recent_pf,recent_expectancy,recent_max_drawdown,total_closed,total_win_rate,total_pf,total_expectancy,total_max_drawdown,monte_carlo_stressed_pf,monte_carlo_stressed_expectancy,monte_carlo_p95_drawdown,spread_x1_5_pf,spread_x2_pf,instrument_type,digits,point,tick_size,spread_points,estimated_spread_price,commission_assumption,slippage_assumption,spread_x1_5_cost,spread_x2_cost,cost_model_confidence,cost_model_reason,remove_best_5_pf,fragile_regime_dependency,single_trade_dependency,candidate,recommendation,rejection_reasons,multi_symbol_score,source_csv
NAS100,NAS100,USTEC.B,NAS100_H1_20000,H1,recent_volatility_breakout,both,all,trailing_defensive,2,100.0,379.29,1.0483,0.0,13,61.54,2.7966,0.2086,237.6525,1.6096,19.003376,426.736071,2.781,2.7655,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.2947,True,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1;fragile_regime_dependency,38190.9388,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\USTEC.b_H1_20000.csv
NAS100,NAS100,USTEC.B,NAS100_H1_20000,H1,recent_volatility_breakout,both,all,baseline,2,100.0,379.29,1.0483,0.0,13,53.85,2.3295,0.1781,310.916429,1.3365,12.473223,475.049287,2.316,2.3026,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.2258,True,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1;fragile_regime_dependency,38038.1831,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\USTEC.b_H1_20000.csv
NAS100,NAS100,USTEC.B,NAS100_H1_20000,H1,recent_volatility_breakout,both,all,mae_guard,2,100.0,379.29,1.0483,0.0,13,53.85,2.3295,0.1781,310.916429,1.3365,12.473223,475.049287,2.316,2.3026,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.2258,True,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1;fragile_regime_dependency,38038.1831,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\USTEC.b_H1_20000.csv
NAS100,NAS100,USTEC.B,NAS100_H1_20000,H1,recent_volatility_breakout,both,all,fast_loss_cut,2,100.0,379.29,1.0483,0.0,13,53.85,2.3295,0.1781,310.916429,1.3365,12.473223,475.049287,2.316,2.3026,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.2258,True,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1;fragile_regime_dependency,38038.1831,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\USTEC.b_H1_20000.csv
US500,US500,US500.B,US500_H1_20000,H1,recent_volatility_breakout,both,all,baseline,1,100.0,46.725,1.0433,0.0,7,57.14,10.1147,0.4497,11.85,7.8159,24.088429,34.4,9.617,9.1645,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1;fragile_regime_dependency,7384.5078,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\US500.b_H1_20000.csv
US500,US500,US500.B,US500_H1_20000,H1,recent_volatility_breakout,both,all,mae_guard,1,100.0,46.725,1.0433,0.0,7,57.14,10.1147,0.4497,11.85,7.8159,24.088429,34.4,9.617,9.1645,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1;fragile_regime_dependency,7384.5078,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\US500.b_H1_20000.csv
US500,US500,US500.B,US500_H1_20000,H1,recent_volatility_breakout,both,all,fast_loss_cut,1,100.0,46.725,1.0433,0.0,7,57.14,10.1147,0.4497,11.85,7.8159,24.088429,34.4,9.617,9.1645,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1;fragile_regime_dependency,7384.5078,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\US500.b_H1_20000.csv
US500,US500,US500.B,US500_H1_20000,H1,recent_volatility_breakout,both,all,trailing_defensive,1,100.0,46.725,1.0433,0.0,7,57.14,10.1147,0.4497,11.85,7.8159,24.088429,34.4,9.617,9.1645,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1;fragile_regime_dependency,7384.5078,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\US500.b_H1_20000.csv
EURUSD,EURUSD,EURUSD,EURUSD_H1_20000,H1,recent_session_open_continuation,both,all,trailing_defensive,1,0.0,0.0,-0.5643,0.0,12,66.67,3.2582,0.4114,0.004743,2.1012,0.000746,0.009202,3.2067,3.1567,forex,5,1e-05,1e-05,12.0,0.00012,0.0,1.8,18.0,24.0,medium,default_instrument_model,0.6599,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;recent_expectancy_not_positive;remove_best_5_pf_below_1;fragile_regime_dependency,264.1938,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\EURUSD_H1_20000.csv
XAUUSD,XAUUSD,XAUUSD.B,XAUUSD_M15_20000,M15,recent_session_open_continuation,both,all,baseline,17,58.82,1.704,0.1872,89.845714,52,48.08,1.4322,0.091,106.160714,0.6738,-2.280148,188.990003,1.4256,1.4192,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,0.872,False,False,False,observation_only,recent_sample_below_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1,256.6306,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_M15_20000.csv
