symbol,sample_label,timeframe,family,side,session,hardening_mode,recent_closed,recent_win_rate,recent_pf,recent_expectancy,recent_max_drawdown,total_closed,total_win_rate,total_pf,total_expectancy,total_max_drawdown,monte_carlo_stressed_pf,monte_carlo_stressed_expectancy,monte_carlo_p95_drawdown,spread_x1_5_pf,spread_x2_pf,remove_best_5_pf,fragile_regime_dependency,single_trade_dependency,candidate,recommendation,rejection_reasons,multi_symbol_score,source_csv
ETHUSD,ETHUSD_M30_20000,M30,recent_volatility_breakout,both,all,trailing_defensive,28,53.57,1.1678,0.1006,53.887928,85,52.94,1.6183,0.1791,94.089964,0.9602,-0.345209,231.989856,1.615,0.0,1.2426,False,False,False,observation_only,monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x2_pf_below_0_95,299.0888,data\backtests\multisymbol\ETHUSD_M30_20000.csv
ETHUSD,ETHUSD_M15_20000,M15,recent_session_open_continuation,both,all,baseline,17,47.06,1.7429,0.1906,17.52909,63,49.21,1.677,0.1838,53.534287,0.9396,-0.27039,100.655935,1.6694,0.0,1.2159,True,False,False,observation_only,recent_sample_below_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x2_pf_below_0_95;fragile_regime_dependency,169.8528,data\backtests\multisymbol\ETHUSD_M15_20000.csv
BTCUSD,BTCUSD_M30_20000,M30,recent_liquidity_sweep,both,all,trailing_defensive,15,73.33,2.4182,0.2828,775.780714,49,55.1,1.475,0.1025,1870.870645,0.7836,-26.246885,3211.556196,0.0,0.0,0.9298,True,False,False,observation_only,recent_sample_below_20;total_sample_below_50;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,32.6691,data\backtests\multisymbol\BTCUSD_M30_20000.csv
BTCUSD,BTCUSD_M30_20000,M30,recent_liquidity_sweep,both,all,mae_guard,15,66.67,2.3374,0.273,775.780714,48,52.08,1.5199,0.1023,1870.870645,0.7881,-24.232434,2788.75012,0.0,0.0,0.9285,True,False,False,observation_only,recent_sample_below_20;total_sample_below_50;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,25.0419,data\backtests\multisymbol\BTCUSD_M30_20000.csv
BTCUSD,BTCUSD_M30_20000,M30,recent_liquidity_sweep,both,all,baseline,15,66.67,2.3374,0.273,775.780714,49,53.06,1.4616,0.0995,1870.870645,0.7757,-27.401718,3211.556196,0.0,0.0,0.92,True,False,False,observation_only,recent_sample_below_20;total_sample_below_50;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,20.5031,data\backtests\multisymbol\BTCUSD_M30_20000.csv
BTCUSD,BTCUSD_M30_20000,M30,recent_liquidity_sweep,both,all,fast_loss_cut,15,66.67,2.3374,0.273,775.780714,49,53.06,1.4616,0.0995,1870.870645,0.7757,-27.401718,3211.556196,0.0,0.0,0.92,True,False,False,observation_only,recent_sample_below_20;total_sample_below_50;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,20.5031,data\backtests\multisymbol\BTCUSD_M30_20000.csv
ETHUSD,ETHUSD_H1_20000,H1,recent_range_reversion,both,all,mae_guard,8,50.0,1.6952,0.1244,26.879286,45,48.89,1.2453,0.0734,163.04,0.579,-3.884035,262.752456,1.2427,0.0,0.6412,False,False,False,reject,recent_sample_below_20;total_sample_below_50;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x2_pf_below_0_95;remove_best_5_pf_below_1,17.6107,data\backtests\multisymbol\ETHUSD_H1_20000.csv
ETHUSD,ETHUSD_H1_20000,H1,recent_range_reversion,both,all,baseline,8,50.0,1.6952,0.1244,26.879286,45,46.67,1.1893,0.0464,163.04,0.5526,-4.318132,284.568132,1.187,0.0,0.6119,False,False,False,reject,recent_sample_below_20;total_sample_below_50;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x2_pf_below_0_95;remove_best_5_pf_below_1,4.1493,data\backtests\multisymbol\ETHUSD_H1_20000.csv
ETHUSD,ETHUSD_H1_20000,H1,recent_range_reversion,both,all,fast_loss_cut,8,50.0,1.6952,0.1244,26.879286,45,46.67,1.1893,0.0464,163.04,0.5526,-4.318132,284.568132,1.187,0.0,0.6119,False,False,False,reject,recent_sample_below_20;total_sample_below_50;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x2_pf_below_0_95;remove_best_5_pf_below_1,4.1493,data\backtests\multisymbol\ETHUSD_H1_20000.csv
ETHUSD,ETHUSD_M30_20000,M30,recent_liquidity_sweep,both,all,trailing_defensive,14,64.29,2.8828,0.2978,21.998643,50,48.0,1.0517,0.0377,93.554714,0.5002,-3.271963,199.13775,1.0478,0.0,0.6473,True,True,False,observation_only,recent_sample_below_20;total_pf_below_1_15;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency;single_trade_dependency,-25.247,data\backtests\multisymbol\ETHUSD_M30_20000.csv
