timeframe,profile,rr,time_stop_min,closed,wins,losses,win_rate,profit_factor,expectancy,max_drawdown,test_pf,test_expectancy,monte_carlo_risk_of_ruin,monte_carlo_drawdown_p95,institutional_score,recommendation,candidate,pass_fail_reasons,broker_touched,order_executed
M30,quality_v3_conservative,1.0,60.0,25,13,12,52.0,1.6991,0.1453,2030.14,27.73,0.0231,0.024,4347.9816,1421.6153,reject,False,sample_too_small,False,False
M30,quality_v3_conservative,1.5,60.0,23,11,12,47.83,1.7025,0.1423,2030.14,27.73,0.0231,0.019,4180.4759,1270.8233,reject,False,sample_too_small;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,quality_v3_conservative,1.2,60.0,24,12,12,50.0,1.5864,0.1274,2030.14,27.73,0.0231,0.027,4437.96523,1248.1912,reject,False,sample_too_small;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,anti_chop_v1,1.2,60.0,20,11,9,55.0,1.4792,0.0777,2268.1098,20.7811,0.2992,0.018,4342.29945,860.4576,reject,False,sample_too_small;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,anti_chop_v1,1.0,60.0,21,11,10,52.38,1.2672,0.0521,3184.0698,20.7811,0.2992,0.049,4985.3834,800.9701,reject,False,sample_too_small;first_half_pf_below_1;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,anti_chop_v1,1.5,60.0,20,10,10,50.0,1.1488,0.0297,3184.0698,20.7811,0.2992,0.056,5199.18965,752.7936,reject,False,sample_too_small;pf_below_1_20;first_half_pf_below_1;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,quality_strict,1.0,15.0,7,3,4,42.86,0.8955,-0.0211,741.04,18.1068,0.0911,0.0,2225.03,602.852,reject,False,sample_too_small;pf_below_1_20;expectancy_not_positive;win_rate_below_45;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,quality_strict,1.2,15.0,7,3,4,42.86,0.8955,-0.0211,741.04,18.1068,0.0911,0.0,2225.03,602.852,reject,False,sample_too_small;pf_below_1_20;expectancy_not_positive;win_rate_below_45;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,quality_strict,1.5,15.0,7,3,4,42.86,0.8955,-0.0211,741.04,18.1068,0.0911,0.0,2225.03,602.852,reject,False,sample_too_small;pf_below_1_20;expectancy_not_positive;win_rate_below_45;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,anti_chop_v1,1.2,15.0,30,15,15,50.0,1.2284,0.0314,2532.68,7.9802,0.0987,0.019,4383.34,167.1595,reject,False,sample_too_small;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,anti_chop_v1,1.5,15.0,30,15,15,50.0,1.2284,0.0314,2532.68,7.9802,0.0987,0.019,4383.34,167.1595,reject,False,sample_too_small;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,anti_chop_v1,1.0,15.0,30,15,15,50.0,1.1917,0.0263,2532.68,7.9802,0.0987,0.019,4383.34,158.9605,reject,False,sample_too_small;pf_below_1_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,anti_chop_v1,1.5,30.0,25,11,14,44.0,1.2103,0.0368,2764.32985,5.938,0.1554,0.063,5314.90585,52.1319,reject,False,sample_too_small;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,rsi_reversal_v2_confirmed,1.2,60.0,5,3,2,60.0,1.4677,0.1066,1026.60615,0.0,0.0,0.0,2648.5323,48.3414,reject,False,sample_too_small,False,False
M15,anti_chop_v1,1.2,30.0,25,11,14,44.0,1.1484,0.0248,2764.32985,5.938,0.1554,0.066,5317.626,26.7984,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;first_half_pf_below_1;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,anti_chop_v1,1.0,30.0,25,11,14,44.0,1.0742,0.0104,2764.32985,5.938,0.1554,0.071,5347.29585,-9.4006,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;first_half_pf_below_1;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,low_drawdown_v1,1.5,60.0,20,9,11,45.0,1.6341,0.1413,2436.35725,0.0,0.0,0.023,4409.5845,-81.3125,reject,False,sample_too_small;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,low_drawdown_v1,1.2,60.0,21,10,11,47.62,1.5202,0.1243,1960.15725,0.0,0.0,0.043,4891.9659,-101.178,reject,False,sample_too_small;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,quality_strict,1.0,60.0,38,19,19,50.0,1.3473,0.0748,2633.07535,1.7289,0.0574,0.107,5857.24515,-125.4924,reject,False,sample_too_small;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,quality_strict,1.5,60.0,36,17,19,47.22,1.3249,0.069,2633.07535,1.7289,0.0574,0.098,6120.51265,-129.9804,reject,False,sample_too_small;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,rsi_reversal_v2_confirmed,1.5,30.0,6,2,4,33.33,1.2628,0.0929,1026.60615,0.0,0.0,0.004,3434.0623,-133.5466,reject,False,sample_too_small;win_rate_below_45;monte_carlo_stressed_pf_below_1_05,False,False
M30,anti_chop_v2_safe,1.0,60.0,33,17,16,51.52,1.4091,0.092,2288.62535,0.5463,-0.065,0.077,5466.56555,-137.3658,reject,False,sample_too_small;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,trend_v2_drawdown_guard,1.0,60.0,33,17,16,51.52,1.4091,0.092,2288.62535,0.5463,-0.065,0.077,5466.56555,-137.3658,reject,False,sample_too_small;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,low_drawdown_v1,1.0,60.0,21,10,11,47.62,1.3467,0.0828,1974.2889,0.0,0.0,0.05,5009.27595,-144.3246,reject,False,sample_too_small;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,quality_strict,1.2,60.0,37,18,19,48.65,1.2742,0.0613,2633.07535,1.7289,0.0574,0.125,6238.9395,-144.9644,reject,False,sample_too_small;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,anti_chop_v2_safe,1.5,60.0,31,15,16,48.39,1.3884,0.0863,2288.62535,0.5463,-0.065,0.086,5665.6513,-145.1998,reject,False,sample_too_small;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,trend_v2_drawdown_guard,1.5,60.0,31,15,16,48.39,1.3884,0.0863,2288.62535,0.5463,-0.065,0.086,5665.6513,-145.1998,reject,False,sample_too_small;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,rsi_reversal_v2_confirmed,1.2,15.0,7,3,4,42.86,1.207,0.0538,977.27,0.0,0.0,0.0,3133.24,-158.0259,reject,False,sample_too_small;win_rate_below_45;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,rsi_reversal_v2_confirmed,1.5,15.0,7,3,4,42.86,1.207,0.0538,977.27,0.0,0.0,0.0,3133.24,-158.0259,reject,False,sample_too_small;win_rate_below_45;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,anti_chop_v2_safe,1.2,60.0,32,16,16,50.0,1.3264,0.0769,2288.62535,0.5463,-0.065,0.111,6097.37945,-161.9898,reject,False,sample_too_small;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,trend_v2_drawdown_guard,1.2,60.0,32,16,16,50.0,1.3264,0.0769,2288.62535,0.5463,-0.065,0.111,6097.37945,-161.9898,reject,False,sample_too_small;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,capital_preservation_v1,1.2,60.0,10,5,5,50.0,1.1602,0.0617,1960.15725,0.0,0.0,0.053,5030.10966,-187.498,reject,False,sample_too_small;pf_below_1_20;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,rsi_reversal_v2_confirmed,1.2,30.0,6,2,4,33.33,1.12,0.0429,1026.60615,0.0,0.0,0.004,3494.0423,-187.6826,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M15,rsi_reversal_v2_confirmed,1.0,15.0,7,3,4,42.86,1.1248,0.0318,977.27,0.0,0.0,0.0,3133.24,-190.1699,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,momentum_v2_filtered,1.2,60.0,26,13,13,50.0,1.1898,0.0533,2261.64535,0.5463,-0.065,0.118,6488.68119,-194.8746,reject,False,sample_too_small;pf_below_1_20;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
M30,momentum_v2_filtered,1.5,60.0,25,12,13,48.0,1.1968,0.052,2896.5226,0.5463,-0.065,0.084,5523.2298,-195.1205,reject,False,sample_too_small;pf_below_1_20;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
H1,low_drawdown_v1,1.5,15.0,29,13,16,44.83,1.1019,0.0379,3478.1508,2.0382,0.1427,0.164,6339.5151,-197.7539,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
H1,low_drawdown_v1,1.5,30.0,29,13,16,44.83,1.1019,0.0379,3478.1508,2.0382,0.1427,0.164,6339.5151,-197.7539,reject,False,sample_too_small;pf_below_1_20;win_rate_below_45;monte_carlo_risk_of_ruin_high;monte_carlo_drawdown_p95_above_limit;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative,False,False
